	male-1.bowtie	male-10.bowtie	male-100.bowtie	male-101.bowtie	male-102.bowtie	male-103.bowtie	male-104.bowtie	male-105.bowtie	male-106.bowtie	male-107.bowtie	male-108.bowtie	male-109.bowtie	male-11.bowtie	male-110.bowtie	male-111.bowtie	male-112.bowtie	male-113.bowtie	male-114.bowtie	male-115.bowtie	male-116.bowtie	male-117.bowtie	male-12.bowtie	male-13.bowtie	male-14.bowtie	male-15.bowtie	male-16.bowtie	male-17.bowtie	male-18.bowtie	male-19.bowtie	male-2.bowtie	male-20.bowtie	male-21.bowtie	male-22.bowtie	male-23.bowtie	male-24.bowtie	male-25.bowtie	male-26.bowtie	male-27.bowtie	male-28.bowtie	male-29.bowtie	male-3.bowtie	male-30.bowtie	male-31.bowtie	male-32.bowtie	male-33.bowtie	male-34.bowtie	male-35.bowtie	male-36.bowtie	male-37.bowtie	male-38.bowtie	male-39.bowtie	male-4.bowtie	male-40.bowtie	male-41.bowtie	male-42.bowtie	male-43.bowtie	male-44.bowtie	male-45.bowtie	male-46.bowtie	male-47.bowtie	male-48.bowtie	male-49.bowtie	male-5.bowtie	male-50.bowtie	male-51.bowtie	male-52.bowtie	male-53.bowtie	male-54.bowtie	male-55.bowtie	male-56.bowtie	male-57.bowtie	male-58.bowtie	male-59.bowtie	male-6.bowtie	male-60.bowtie	male-61.bowtie	male-62.bowtie	male-63.bowtie	male-64.bowtie	male-65.bowtie	male-66.bowtie	male-67.bowtie	male-68.bowtie	male-69.bowtie	male-7.bowtie	male-70.bowtie	male-71.bowtie	male-72.bowtie	male-73.bowtie	male-74.bowtie	male-75.bowtie	male-76.bowtie	male-77.bowtie	male-78.bowtie	male-79.bowtie	male-8.bowtie	male-80.bowtie	male-81.bowtie	male-82.bowtie	male-83.bowtie	male-84.bowtie	male-85.bowtie	male-86.bowtie	male-87.bowtie	male-88.bowtie	male-89.bowtie	male-9.bowtie	male-90.bowtie	male-91.bowtie	male-92.bowtie	male-93.bowtie	male-94.bowtie	male-95.bowtie	male-96.bowtie	male-97.bowtie	male-98.bowtie	male-99.bowtie
TC25Me3	$	0.051	0.048	0.052	0.064	0.048	0.04	0.08	$	0.052	0.043	0.071	0.042	0.041	0.041	0.081	0.038	0	0.038	0.043	0.044	0.043	0.04	0.061	0.071	0.076	0.045	0	0.046	$	$	0.064	0.046	0.035	0	0.048	0.046	0.046	0.045	0.046	0.053	0.041	0.053	$	$	$	0.057	0.051	$	0.04	0.032	0.032	$	$	0.056	$	0.053	0.043	0.051	0.042	0.04	0.043	0.049	0.047	0.06	0	0.046	0.051	0.064	0.039	0.047	0.034	0.042	0.051	0.043	0.042	0.037	0.045	0.05	0.046	0.059	0.046	0.038	0.033	0.054	0.045	0.058	0.047	0.038	0.057	0.039	0.039	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
TC25Me5	$	0	0	0	0	0.001	0.007	0.012	$	0	0.002	0.054	0	0	0.015	0	0.081	0.061	0	0	0.072	0	0	0	0	0.022	0.06	0.056	0.071	$	$	0	0.009	0.01	0.045	0.008	0.001	0.013	0.025	0.001	0.027	0	0.041	$	$	$	0.031	0.055	$	0.042	0.007	0.018	$	$	0.005	$	0.003	0	0.002	0.001	0.004	0	0.004	0.001	0.004	0.041	0.002	0.001	0.014	0.019	0	0.003	0.012	0.011	0.138	0.004	0.078	0.004	0.018	0.003	0.042	0.003	0.063	0	0.037	0.002	0.032	0.029	0.024	0.025	0.002	0.013	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
TC26D4M12T1	$	0.018	0	0.021	0	0.01	0.008	0.018	$	0.007	0.008	0	0	0.015	0	0	0.003	0.021	0	0.02	0.008	0.02	0.01	0.022	0	0.024	0.011	0.026	0	$	$	0	0.009	0	0.023	0	0.014	0.021	0.021	0.014	0.022	0	0.02	$	$	$	0.021	0.02	$	0.028	0.03	0.025	$	$	0.022	$	0.023	0.03	0.011	0.017	0.027	0.016	0.024	0.014	0.024	0.021	0.014	0.022	0.026	0.014	0.026	0.021	0.023	0.015	0.022	0.015	0.025	0.015	0.026	0.018	0.029	0.018	0.022	0.016	0.024	0.012	0.022	0.035	0.025	0.025	0.022	0.024	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
TC26ME4	$	0.006	0.002	0.009	0	0.008	0.006	0.013	$	0.006	0.006	0.013	0	0.011	0.014	0.009	0.009	0.015	0.013	0.011	0.01	0.011	0.014	0.017	0.013	0.015	0.014	0.022	0	$	$	0	0	0.02	0.018	0.021	0.019	0.016	0.019	0.022	0.015	0.022	0.017	$	$	$	0.015	0.017	$	0.022	0.024	0.025	$	$	0.013	$	0.016	0.024	0.012	0.017	0.022	0.015	0.017	0.015	0.013	0.016	0	0.015	0.018	0.022	0.019	0.02	0.012	0.015	0.012	0.015	0.017	0.011	0.02	0.019	0.03	0.019	0.017	0.012	0.017	0.014	0.011	0.031	0.017	0.014	0.012	0.013	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
TC26T	$	0.039	0.038	0.038	$	0.038	0.038	0.038	$	0.037	0.038	0.038	$	0.037	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	$	$	0.038	0.038	0.038	0.038	0.039	0.039	0.038	0.038	0.038	0.037	0.039	0.038	$	$	$	0.038	0.038	$	0.038	0.039	0.038	$	$	0.038	$	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.037	0.038	0.037	0.038	0.038	0.039	0.038	0.037	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.039	0.038	0.038	0.038	0.038	0.038	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
TC29	$	0.113	0.055	0.064	0.11	0.083	0.161	0.08	$	0.113	0.155	0.112	0	0.061	0.133	0.102	0.102	0.121	0.111	0.123	0.141	0.123	0.137	0.12	0.101	0.048	0.108	0.066	0.06	$	$	0.108	0.099	0.115	0.126	0.104	0.103	0.137	0.075	0.146	0.103	0.125	0.108	$	$	$	0.144	0.126	$	0.097	0.11	0.089	$	$	0.113	$	0.129	0.112	0.095	0.139	0.085	0.107	0.103	0.138	0.099	0.042	0.14	0.066	0.09	0.157	0.113	0.07	0.09	0.052	0.082	0.09	0.073	0.115	0.095	0.1	0	0.1	0.128	0.108	0.118	0.131	0.103	0.053	0.104	0.147	0.111	0.171	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
TC30	$	0.046	0.042	0.044	0.036	0.034	0.034	0.032	$	0.037	0.037	0.033	0	0.022	0.033	0.026	0.026	0.033	0.032	0.038	0.034	0.038	0.022	0.033	0.028	0.037	0.027	0.029	0.041	$	$	0.035	0.036	0.034	0.041	0.04	0.043	0.037	0.038	0.032	0.032	0.037	0.038	$	$	$	0.031	0	$	0.035	0.044	0.033	$	$	0.038	$	0.037	0.033	0.039	0.039	0.033	0.033	0.038	0.033	0.033	0.04	0.037	0.041	0.029	0.032	0.03	0.028	0.036	0.04	0.029	0.032	0.022	0.033	0.03	0.03	0.038	0.03	0.034	0.036	0.032	0.038	0.029	0.035	0.04	0.032	0.045	0.036	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
TC31me13-15	$	0.037	0.061	0.049	0.04	0.045	0.033	0.042	$	0.037	0.03	0.029	0	0.027	0.035	0.022	0.029	0.034	0.031	0.036	0.027	0.036	0.033	0.035	0.021	0.048	0.032	0.05	0.035	$	$	0.021	0.042	0.029	0.043	0.038	0.032	0.031	0.042	0.03	0.036	0.029	0.029	$	$	$	0.025	0.033	$	0.04	0.039	0.031	$	$	0.036	$	0.031	0.036	0.047	0.039	0.046	0.04	0.044	0.03	0.04	0.06	0.035	0.055	0.038	0.026	0.034	0.049	0.048	0.061	0.036	0.038	0.036	0.035	0.04	0.03	0.06	0.03	0.022	0.041	0.029	0.039	0.025	0.041	0.048	0.026	0.081	0.032	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc25	$	0.061	0.037	0.034	0.04	0.044	0.032	0.056	$	0.026	0.031	0.056	0.06	0.042	0.032	0.054	0.041	0.049	0.029	0.042	0.036	0.042	0.032	0.048	0.045	0.079	0.032	0.059	0.034	$	$	0.043	0.023	0.025	0.033	0.045	0.044	0.034	0.021	0.044	0.037	0.047	0.034	$	$	$	0.049	0.043	$	0.03	0.027	0.029	$	$	0.047	$	0.04	0.034	0.037	0.038	0.027	0.028	0.033	0.035	0.048	0.041	0.037	0.048	0.058	0.042	0.034	0.026	0.027	0.036	0.028	0.029	0.048	0.035	0.033	0.035	0.046	0.035	0.031	0.028	0.057	0.038	0.058	0.046	0.024	0.06	0.028	0.034	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc26Me10T1	$	0.009	0	0	0	0	0.008	0.011	$	0	0.008	0	0	0	0	0	0.006	0	0	0.009	0.009	0.009	0	0	0.011	0.011	0.009	0	0.018	$	$	0.012	0.016	0	0.009	0	0.01	0	0	0	0	0	0.01	$	$	$	0	0	$	0.009	0	0	$	$	0.01	$	0.009	0	0.008	0.01	0	0.009	0	0	0.011	0	0.017	0.011	0.011	0	0	0	0	0	0	0	0	0	0.01	0.009	0	0.009	0	0	0	0.006	0.007	0	0	0.009	0	0.008	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
