TC25Me3	$	0.051	0.048	0.052	0.064	0.048	0.040	0.080	$	0.052	0.043	0.071	0.042	0.041	0.041	0.081	0.038	0.000	0.038	0.043	0.044	0.043	0.040	0.061	0.071	0.076	0.045	0.000	0.046	$	$	0.064	0.046	0.035	0.000	0.048	0.046	0.046	0.045	0.046	0.053	0.041	0.053	$	$	$	0.057	0.051	$	0.040	0.032	0.032	$	$	0.056	$	0.053	0.043	0.051	0.042	0.040	0.043	0.049	0.047	0.060	0.000	0.046	0.051	0.064	0.039	0.047	0.034	0.042	0.051	0.043	0.042	0.037	0.045	0.050	0.046	0.059	0.046	0.038	0.033	0.054	0.045	0.058	0.047	0.038	0.057	0.039	0.039	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
TC25Me5	$	0.000	0.000	0.000	0.000	0.001	0.007	0.012	$	0.000	0.002	0.054	0.000	0.000	0.015	0.000	0.081	0.061	0.000	0.000	0.072	0.000	0.000	0.000	0.000	0.022	0.060	0.056	0.071	$	$	0.000	0.009	0.010	0.045	0.008	0.001	0.013	0.025	0.001	0.027	0.000	0.041	$	$	$	0.031	0.055	$	0.042	0.007	0.018	$	$	0.005	$	0.003	0.000	0.002	0.001	0.004	0.000	0.004	0.001	0.004	0.041	0.002	0.001	0.014	0.019	0.000	0.003	0.012	0.011	0.138	0.004	0.078	0.004	0.018	0.003	0.042	0.003	0.063	0.000	0.037	0.002	0.032	0.029	0.024	0.025	0.002	0.013	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
TC26D4M12T1	$	0.018	0.000	0.021	0.000	0.010	0.008	0.018	$	0.007	0.008	0.000	0.000	0.015	0.000	0.000	0.003	0.021	0.000	0.020	0.008	0.020	0.010	0.022	0.000	0.024	0.011	0.026	0.000	$	$	0.000	0.009	0.000	0.023	0.000	0.014	0.021	0.021	0.014	0.022	0.000	0.020	$	$	$	0.021	0.020	$	0.028	0.030	0.025	$	$	0.022	$	0.023	0.030	0.011	0.017	0.027	0.016	0.024	0.014	0.024	0.021	0.014	0.022	0.026	0.014	0.026	0.021	0.023	0.015	0.022	0.015	0.025	0.015	0.026	0.018	0.029	0.018	0.022	0.016	0.024	0.012	0.022	0.035	0.025	0.025	0.022	0.024	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
TC26ME4	$	0.006	0.002	0.009	0.000	0.008	0.006	0.013	$	0.006	0.006	0.013	0.000	0.011	0.014	0.009	0.009	0.015	0.013	0.011	0.010	0.011	0.014	0.017	0.013	0.015	0.014	0.022	0.000	$	$	0.000	0.000	0.020	0.018	0.021	0.019	0.016	0.019	0.022	0.015	0.022	0.017	$	$	$	0.015	0.017	$	0.022	0.024	0.025	$	$	0.013	$	0.016	0.024	0.012	0.017	0.022	0.015	0.017	0.015	0.013	0.016	0.000	0.015	0.018	0.022	0.019	0.020	0.012	0.015	0.012	0.015	0.017	0.011	0.020	0.019	0.030	0.019	0.017	0.012	0.017	0.014	0.011	0.031	0.017	0.014	0.012	0.013	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
TC26T	$	0.039	0.038	0.038	$	0.038	0.038	0.038	$	0.037	0.038	0.038	$	0.037	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	$	$	0.038	0.038	0.038	0.038	0.039	0.039	0.038	0.038	0.038	0.037	0.039	0.038	$	$	$	0.038	0.038	$	0.038	0.039	0.038	$	$	0.038	$	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.037	0.038	0.037	0.038	0.038	0.039	0.038	0.037	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.039	0.038	0.038	0.038	0.038	0.038	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
TC29	$	0.113	0.055	0.064	0.110	0.083	0.161	0.080	$	0.113	0.155	0.112	0.000	0.061	0.133	0.102	0.102	0.121	0.111	0.123	0.141	0.123	0.137	0.120	0.101	0.048	0.108	0.066	0.060	$	$	0.108	0.099	0.115	0.126	0.104	0.103	0.137	0.075	0.146	0.103	0.125	0.108	$	$	$	0.144	0.126	$	0.097	0.110	0.089	$	$	0.113	$	0.129	0.112	0.095	0.139	0.085	0.107	0.103	0.138	0.099	0.042	0.140	0.066	0.090	0.157	0.113	0.070	0.090	0.052	0.082	0.090	0.073	0.115	0.095	0.100	0.000	0.100	0.128	0.108	0.118	0.131	0.103	0.053	0.104	0.147	0.111	0.171	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
TC30	$	0.046	0.042	0.044	0.036	0.034	0.034	0.032	$	0.037	0.037	0.033	0.000	0.022	0.033	0.026	0.026	0.033	0.032	0.038	0.034	0.038	0.022	0.033	0.028	0.037	0.027	0.029	0.041	$	$	0.035	0.036	0.034	0.041	0.040	0.043	0.037	0.038	0.032	0.032	0.037	0.038	$	$	$	0.031	0.000	$	0.035	0.044	0.033	$	$	0.038	$	0.037	0.033	0.039	0.039	0.033	0.033	0.038	0.033	0.033	0.040	0.037	0.041	0.029	0.032	0.030	0.028	0.036	0.040	0.029	0.032	0.022	0.033	0.030	0.030	0.038	0.030	0.034	0.036	0.032	0.038	0.029	0.035	0.040	0.032	0.045	0.036	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
TC31me13-15	$	0.037	0.061	0.049	0.040	0.045	0.033	0.042	$	0.037	0.030	0.029	0.000	0.027	0.035	0.022	0.029	0.034	0.031	0.036	0.027	0.036	0.033	0.035	0.021	0.048	0.032	0.050	0.035	$	$	0.021	0.042	0.029	0.043	0.038	0.032	0.031	0.042	0.030	0.036	0.029	0.029	$	$	$	0.025	0.033	$	0.040	0.039	0.031	$	$	0.036	$	0.031	0.036	0.047	0.039	0.046	0.040	0.044	0.030	0.040	0.060	0.035	0.055	0.038	0.026	0.034	0.049	0.048	0.061	0.036	0.038	0.036	0.035	0.040	0.030	0.060	0.030	0.022	0.041	0.029	0.039	0.025	0.041	0.048	0.026	0.081	0.032	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc25	$	0.061	0.037	0.034	0.040	0.044	0.032	0.056	$	0.026	0.031	0.056	0.060	0.042	0.032	0.054	0.041	0.049	0.029	0.042	0.036	0.042	0.032	0.048	0.045	0.079	0.032	0.059	0.034	$	$	0.043	0.023	0.025	0.033	0.045	0.044	0.034	0.021	0.044	0.037	0.047	0.034	$	$	$	0.049	0.043	$	0.030	0.027	0.029	$	$	0.047	$	0.040	0.034	0.037	0.038	0.027	0.028	0.033	0.035	0.048	0.041	0.037	0.048	0.058	0.042	0.034	0.026	0.027	0.036	0.028	0.029	0.048	0.035	0.033	0.035	0.046	0.035	0.031	0.028	0.057	0.038	0.058	0.046	0.024	0.060	0.028	0.034	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc26Me10T1	$	0.009	0.000	0.000	0.000	0.000	0.008	0.011	$	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.009	0.009	0.009	0.000	0.000	0.011	0.011	0.009	0.000	0.018	$	$	0.012	0.016	0.000	0.009	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.010	$	$	$	0.000	0.000	$	0.009	0.000	0.000	$	$	0.010	$	0.009	0.000	0.008	0.010	0.000	0.009	0.000	0.000	0.011	0.000	0.017	0.011	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.009	0.000	0.009	0.000	0.000	0.000	0.006	0.007	0.000	0.000	0.009	0.000	0.008	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc27D1	$	0.056	0.027	0.024	0.041	0.030	0.045	0.037	$	0.030	0.041	0.047	$	0.024	0.034	0.046	0.036	0.044	0.031	0.048	0.041	0.048	0.037	0.039	0.041	0.030	0.033	0.027	0.029	$	$	0.048	0.029	0.031	0.032	0.044	0.047	0.038	0.018	0.048	0.032	0.049	0.037	$	$	$	0.050	0.042	$	0.029	0.042	0.031	$	$	0.044	$	0.043	0.038	0.032	0.047	0.029	0.035	0.029	0.037	0.040	0.019	0.040	0.027	0.039	0.047	0.035	0.025	0.034	0.026	0.031	0.035	0.041	0.037	0.033	0.034	0.029	0.034	0.042	0.032	0.047	0.041	0.047	0.028	0.030	0.054	0.030	0.045	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc27M11-13D	$	0.033	0.048	0.056	0.049	0.045	0.039	0.048	$	0.038	0.027	0.047	$	0.033	0.028	0.056	0.028	0.028	0.024	0.042	0.029	0.042	0.042	0.035	0.045	0.056	0.038	0.047	0.040	$	$	0.048	0.036	0.033	0.038	0.035	0.033	0.030	0.042	0.041	0.045	0.031	0.046	$	$	$	0.044	0.039	$	0.036	0.029	0.032	$	$	0.041	$	0.037	0.033	0.043	0.040	0.037	0.036	0.044	0.030	0.043	0.038	0.039	0.059	0.045	0.026	0.040	0.042	0.042	0.045	0.036	0.037	0.032	0.028	0.040	0.039	0.062	0.039	0.025	0.032	0.033	0.034	0.035	0.050	0.040	0.032	0.027	0.027	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc27di11me15	$	0.006	0.008	0.017	0.005	0.005	0.007	0.011	$	0.007	0.003	0.009	0.000	0.006	0.004	0.010	0.003	0.002	0.005	0.007	0.005	0.007	0.006	0.004	0.008	0.008	0.007	0.007	0.005	$	$	0.000	0.008	0.008	0.006	0.000	0.005	0.006	0.010	0.008	0.006	0.005	0.009	$	$	$	0.007	0.005	$	0.008	0.006	0.006	$	$	0.009	$	0.008	0.005	0.008	0.007	0.009	0.006	0.011	0.005	0.008	0.005	0.007	0.007	0.010	0.005	0.007	0.008	0.009	0.010	0.009	0.006	0.003	0.007	0.009	0.006	0.000	0.006	0.005	0.005	0.005	0.005	0.007	0.012	0.008	0.007	0.005	0.004	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc27me5D1T	$	0.000	0.000	0.000	0.000	0.001	0.002	0.002	$	0.000	0.000	0.000	$	0.000	0.002	0.002	0.000	0.001	0.000	0.002	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.002	$	$	0.000	0.002	0.000	0.001	0.000	0.001	0.001	0.000	0.000	0.002	0.000	0.000	$	$	$	0.002	0.001	$	0.000	0.000	0.001	$	$	0.001	$	0.002	0.000	0.000	0.000	0.000	0.002	0.001	0.000	0.001	0.000	0.001	0.000	0.002	0.001	0.000	0.000	0.001	0.002	0.001	0.001	0.001	0.002	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.001	0.000	0.001	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc27triKT	$	0.000	0.091	0.000	0.000	0.000	0.047	0.072	$	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.067	0.000	0.067	0.063	0.077	0.000	0.045	0.000	0.000	0.062	$	$	0.000	0.039	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.066	$	$	$	0.050	0.000	$	0.000	0.000	0.066	$	$	0.063	$	0.058	0.000	0.038	0.000	0.068	0.111	0.060	0.000	0.053	0.000	0.000	0.059	0.055	0.000	0.000	0.000	0.000	0.113	0.048	0.117	0.000	0.113	0.044	0.000	0.000	0.000	0.000	$	0.000	0.076	0.000	0.119	0.062	0.049	0.000	0.045	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc284812DT	$	0.015	0.023	0.018	0.017	0.017	0.010	0.019	$	0.018	0.016	0.018	$	0.008	0.013	0.016	0.008	0.015	0.012	0.018	0.015	0.018	0.014	0.018	0.015	0.015	0.017	0.014	0.011	$	$	0.016	0.018	0.012	0.013	$	0.017	0.014	0.014	0.017	0.012	0.008	0.017	$	$	$	0.017	0.011	$	0.015	0.010	0.010	$	$	0.017	$	0.019	0.007	0.017	0.015	0.010	0.015	0.018	0.014	0.017	0.011	0.012	0.010	0.014	0.013	0.012	0.012	0.015	0.021	0.013	0.015	0.009	0.015	0.014	0.014	0.016	0.014	0.006	0.017	0.010	0.016	0.011	0.014	0.017	0.014	$	0.013	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc28D1T	$	0.113	0.098	0.121	0.085	0.149	0.069	0.058	$	0.108	0.090	0.069	$	$	0.151	0.144	0.191	0.095	0.190	0.097	0.078	0.097	0.086	0.070	0.126	0.089	0.113	0.157	0.137	$	$	0.088	0.063	0.168	0.051	0.096	0.098	0.105	0.145	0.085	0.126	0.142	0.101	$	$	$	0.090	0.106	$	0.117	0.140	0.196	$	$	0.058	$	0.075	0.142	0.043	0.099	0.129	0.000	0.099	0.095	0.105	0.136	0.097	0.087	0.077	0.112	0.140	0.146	0.127	0.000	0.096	0.000	0.157	0.000	0.083	0.109	0.112	0.109	0.161	0.000	0.105	0.064	0.183	0.000	0.056	0.082	0.068	0.082	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
Tc28Me2T1	$	0.003	0.000	0.000	0.000	0.002	0.004	0.002	$	0.002	0.000	0.004	0.000	0.001	0.002	0.002	0.000	0.004	0.000	0.003	0.003	0.003	0.000	0.004	0.003	0.003	0.000	0.002	0.000	$	$	0.000	0.003	0.000	0.003	0.000	0.003	0.004	0.000	0.000	0.003	0.000	0.003	$	$	$	0.001	0.000	$	0.000	0.003	0.002	$	$	0.003	$	0.003	0.000	0.002	0.003	0.002	0.003	0.000	0.000	0.001	0.005	0.000	0.000	0.003	0.004	0.000	0.001	0.002	0.000	0.000	0.003	0.000	0.003	0.004	0.003	0.000	0.003	0.000	0.000	0.000	0.002	0.000	0.002	0.003	0.004	0.000	0.003	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	
